NUTS 3 CODE,LAU CODE,LAU NAME NATIONAL,LAU NAME LATIN,CHANGE (Y/N),POPULATION,TOTAL AREA (m2),DEGURBA,DEG change compared to last year,COASTAL AREA (yes/no),COAST change compared to last year,CITY_ID,CITY_ID change compared to last year,CITY_NAME,GREATER_CITY_ID,GREATER_CITY_ID change compared to last year,GREATER_CITY_NAME,FUA_ID,FUA_ID change compared to last year,FUA_NAME
UKH37,E07000075,Rochford,,No,86209,263411100,2,No,,,,,,,,,UK001L3,No,London
UKH34,E07000076,Tendring,,No,144705,365817900,2,No,,,,,,,,,UK546L1,No,Colchester
UKH35,E07000077,Uttlesford,,No,87684,641182800,3,No,,,,,,,,,UK001L3,No,London
UKK13,E07000078,Cheltenham,,No,117128,46596200,1,No,,,UK571C1,No,Cheltenham,,,,UK571L1,No,Cheltenham
UKK13,E07000079,Cotswold,,No,87509,1164524200,3,No,,,,,,,,,,,
UKK13,E07000080,Forest of Dean,,No,85957,561432400,3,No,,,,,,,,,,,
UKK13,E07000081,Gloucester,,No,129083,40826600,1,No,,,UK572C1,No,Gloucester,,,,,,
UKK13,E07000082,Stroud,,No,118130,476173000,2,No,,,,,,,,,,,
UKK13,E07000083,Tewkesbury,,No,90332,414976000,2,No,,,,,,,,,UK571L1,No,Cheltenham
UKJ37,E07000084,Basingstoke and Deane,,No,175337,633817200,1,No,,,UK548C1,No,Basingstoke and Deane,,,,,,
UKJ36,E07000085,East Hampshire,,No,119392,514432100,2,No,,,,,,,,,,,
UKJ35,E07000086,Eastleigh,,No,130498,85268000,1,No,,,UK579C1,No,Eastleigh,UK520K1,No,Southampton,UK520L2,No,Southampton
UKJ35,E07000087,Fareham,,No,116219,77799700,2,Yes,,,,,,UK023K1,No,Portsmouth,UK023L1,No,Portsmouth
UKJ35,E07000088,Gosport,,No,85509,27577800,1,No,,,UK578C1,No,Gosport,UK023K1,No,Portsmouth,UK023L1,No,Portsmouth
UKJ37,E07000089,Hart,,No,95465,215265000,2,No,,,,,,,,,,,
UKJ35,E07000090,Havant,,No,125065,79099600,2,Yes,,,,,,UK023K1,No,Portsmouth,UK023L1,No,Portsmouth
UKJ36,E07000091,New Forest,,No,179590,776909300,2,No,,,,,,,,,UK520L2,No,Southampton
UKJ37,E07000092,Rushmoor,,No,95817,39045000,1,No,,,UK580C1,No,Rushmoor,UK580K1,No,Rushmoor,,,
UKJ36,E07000093,Test Valley,,No,123957,627622000,2,No,,,,,,,,,UK520L2,No,Southampton
UKJ36,E07000094,Winchester,,No,123879,661071000,2,No,,,,,,,,,,,
UKH23,E07000095,Broxbourne,,No,96762,51442200,2,No,,,,,,,,,UK001L3,No,London
UKH23,E07000096,Dacorum,,No,153316,212476500,1,No,,,UK556C1,No,Dacorum,,,,,,
UKH23,E07000098,Hertsmere,,No,104031,101128100,2,No,,,,,,,,,UK001L3,No,London
UKH23,E07000099,North Hertfordshire,,No,133321,375382100,2,No,,,,,,,,,,,
UKH23,E07000102,Three Rivers,,No,92641,88824100,2,No,,,,,,,,,UK001L3,No,London
UKH23,E07000103,Watford,,No,96675,21430400,1,No,,,UK577C1,No,Watford,,,,UK001L3,No,London
UKJ45,E07000105,Ashford,,No,127527,580617400,1,No,,,UK041C1,No,Ashford,,,,,,
UKJ44,E07000106,Canterbury,,No,164100,320889400,2,No,,,,,,,,,,,
UKJ43,E07000107,Dartford,,No,107516,76310400,2,No,,,,,,,,,UK001L3,No,London
UKJ44,E07000108,Dover,,No,115803,320827000,2,No,,,,,,,,,,,
UKJ43,E07000109,Gravesham,,No,106121,104958600,1,No,,,UK020C1,No,Gravesham,,,,UK001L3,No,London
UKJ45,E07000110,Maidstone,,No,167730,393350700,1,No,,,UK554C1,No,Maidstone,,,,,,
UKJ46,E07000111,Sevenoaks,,No,119429,370347000,2,No,,,,,,,,,UK001L3,No,London
UKJ44,E07000112,Shepway,,No,111427,365515200,2,No,,,,,,,,,,,
UKJ43,E07000113,Swale,,No,146694,422095600,2,No,,,,,,,,,,,
UKJ44,E07000114,Thanet,,No,141337,112339000,1,No,,,UK034C1,No,Thanet,,,,,,
UKJ46,E07000115,Tonbridge and Malling,,No,128891,240973400,2,No,,,,,,,,,UK001L3,No,London
UKJ46,E07000116,Tunbridge Wells,,No,118061,331328700,1,No,,,UK040C1,No,Tunbridge Wells,,,,UK001L3,No,London
UKD46,E07000117,Burnley,,No,87705,110684000,1,No,,,UK050C1,No,Burnley,,,,UK050L1,No,Burnley
UKD47,E07000118,Chorley,,No,115772,202905700,2,No,,,,,,,,,,,
UKD45,E07000119,Fylde,,No,78863,182633400,2,No,,,,,,,,,UK553L1,No,Blackpool
UKD46,E07000120,Hyndburn,,No,80410,72997400,1,No,,,UK057C1,No,Hyndburn,,,,UK557L1,No,Blackburn with Darwen
UKD44,E07000121,Lancaster,,No,142487,654210100,2,No,,,,,,,,,,,
UKD46,E07000122,Pendle,,No,90696,169380100,2,No,,,,,,,,,UK050L1,No,Burnley
UKD45,E07000123,Preston,,No,141346,142944800,1,No,,,UK562C1,No,Preston,UK562K1,No,Preston,UK562L2,No,Preston
UKD45,E07000124,Ribble Valley,,No,59504,584471500,2,No,,,,,,,,,UK557L1,No,Blackburn with Darwen
UKD46,E07000125,Rossendale,,No,70365,138041200,2,No,,,,,,,,,UK008L3,No,Greater Manchester
UKD45,E07000126,South Ribble,,No,110400,114614900,2,Yes,,,,,,UK562K1,No,Preston,UK562L2,No,Preston
UKD47,E07000127,West Lancashire,,No,113881,381095200,2,No,,,,,,,,,UK006L3,No,Liverpool
UKD44,E07000128,Wyre,,No,110426,329030000,2,Yes,,,,,,UK553K1,No,Blackpool,UK553L1,No,Blackpool
UKF22,E07000129,Blaby,,No,98977,130468600,2,Yes,,,,,,UK014K1,No,Leicester,UK014L1,No,Leicester
UKF22,E07000130,Charnwood,,No,180387,279042700,2,No,,,,,,,,,UK014L1,No,Leicester
UKF22,E07000131,Harborough,,No,91461,592692300,2,No,,,,,,,,,UK014L1,No,Leicester
UKF22,E07000132,Hinckley and Bosworth,,No,111370,297349100,2,No,,,,,,,,,UK014L1,No,Leicester
UKF22,E07000133,Melton,,No,50873,481380500,2,No,,,,,,,,,,,
UKF22,E07000134,North West Leicestershire,,No,100109,279328000,2,No,,,,,,,,,,,
UKF22,E07000135,Oadby and Wigston,,No,57035,23526100,2,Yes,,,,,,UK014K1,No,Leicester,UK014L1,No,Leicester
UKF30,E07000136,Boston,,No,68488,397792700,2,No,,,,,,,,,,,
UKF30,E07000137,East Lindsey,,No,139718,1831072700,3,No,,,,,,,,,,,
UKF30,E07000138,Lincoln,,No,98438,35690100,1,No,,,UK019C1,No,Lincoln,,,,UK019L3,No,Lincoln
UKF30,E07000139,North Kesteven,,No,115230,922471400,2,No,,,,,,,,,UK019L3,No,Lincoln
UKF30,E07000140,South Holland,,No,93295,815503700,2,No,,,,,,,,,,,
UKF30,E07000141,South Kesteven,,No,141662,942586100,2,No,,,,,,,,,,,
UKF30,E07000142,West Lindsey,,No,94340,1157652200,3,No,,,,,,,,,UK019L3,No,Lincoln
UKH17,E07000143,Breckland,,No,138602,1305116700,2,No,,,,,,,,,,,
UKH15,E07000144,Broadland,,No,128535,553244400,2,No,,,,,,,,,UK566L1,No,Norwich
UKH15,E07000145,Great Yarmouth,,No,99417,182472000,1,No,,,UK051C1,No,Great Yarmouth,,,,,,
UKH16,E07000146,King's Lynn and West Norfolk,,No,151945,1527658500,3,No,,,,,,,,,,,
UKH16,E07000147,North Norfolk,,No,104067,990397900,3,No,,,,,,,,,,,
UKH15,E07000148,Norwich,,No,140353,40554100,1,No,,,UK566C1,No,Norwich,,,,UK566L1,No,Norwich
UKH17,E07000149,South Norfolk,,No,135471,908906600,3,No,,,,,,,,,UK566L1,No,Norwich
UKF25,E07000150,Corby,,No,69540,80280900,1,No,,,UK582C1,No,Corby,,,,,,
UKF24,E07000151,Daventry,,No,82638,665600500,3,No,,,,,,,,,UK528L1,No,Northampton
UKF25,E07000152,East Northamptonshire,,No,93135,509787200,2,No,,,,,,,,,,,
UKF25,E07000153,Kettering,,No,100252,233490000,1,No,,,UK583C1,No,Kettering,,,,,,
UKF24,E07000154,Northampton,,No,225656,80771800,1,No,,,UK528C1,No,Northampton,,,,UK528L1,No,Northampton
UKF24,E07000155,South Northamptonshire,,No,91074,634023200,3,No,,,,,,,,,UK528L1,No,Northampton
UKF25,E07000156,Wellingborough,,No,78914,163036300,2,No,,,,,,,,,UK528L1,No,Northampton
UKE22,E07000163,Craven,,No,56604,1178807400,3,No,,,,,,,,,UK003L2,No,Leeds
UKE22,E07000164,Hambleton,,No,90718,1311228200,3,No,,,,,,,,,,,
UKE22,E07000165,Harrogate,,No,160044,1309127300,2,No,,,,,,,,,UK003L2,No,Leeds
UKE22,E07000166,Richmondshire,,No,53699,1318707000,3,No,,,,,,,,,,,
UKE22,E07000167,Ryedale,,No,54311,1506593700,3,No,,,,,,,,,,,
UKE22,E07000168,Scarborough,,No,108370,826253500,2,No,,,,,,,,,,,
UKE22,E07000169,Selby,,No,87887,602223300,2,No,,,,,,,,,UK003L2,No,Leeds
UKF15,E07000170,Ashfield,,No,126164,109558200,2,No,,,,,,,,,UK029L1,No,Greater Nottingham
UKF15,E07000171,Bassetlaw,,No,116304,639492900,2,No,,,,,,,,,,,
UKF16,E07000172,Broxtowe,,No,112718,80098900,2,Yes,,,,,,UK029K1,No,Greater Nottingham,UK029L1,No,Greater Nottingham
UKF16,E07000173,Gedling,,No,117128,119981600,2,Yes,,,,,,UK029K1,No,Greater Nottingham,UK029L1,No,Greater Nottingham
UKF15,E07000174,Mansfield,,No,108576,76697000,1,No,,,UK046C1,No,Mansfield,,,,,,
UKF15,E07000175,Newark and Sherwood,,No,120965,651835500,2,No,,,,,,,,,,,
UKF16,E07000176,Rushcliffe,,No,115996,409231700,2,Yes,,,,,,UK029K1,No,Greater Nottingham,UK029L1,No,Greater Nottingham
UKJ14,E07000177,Cherwell,,No,147602,588741200,2,No,,,,,,,,,UK560L1,No,Oxford
UKJ14,E07000178,Oxford,,No,154582,45602800,1,No,,,UK560C1,No,Oxford,,,,UK560L1,No,Oxford
UKJ14,E07000179,South Oxfordshire,,No,139767,678537200,2,No,,,,,,,,,,,
UKJ14,E07000180,Vale of White Horse,,No,131227,578644500,2,No,,,,,,,,,UK560L1,No,Oxford
UKJ14,E07000181,West Oxfordshire,,No,109266,714421900,2,No,,,,,,,,,UK560L1,No,Oxford
UKK23,E07000187,Mendip,,No,113513,739435600,2,No,,,,,,,,,,,
UKK23,E07000188,Sedgemoor,,No,122178,605874100,2,No,,,,,,,,,,,
UKK23,E07000189,South Somerset,,No,167216,959058100,2,No,,,,,,,,,,,
UKK23,E07000190,Taunton Deane,,No,117423,462503100,2,No,,,,,,,,,,,
UKK23,E07000191,West Somerset,,No,34865,746983400,2,No,,,,,,,,,,,
UKG24,E07000192,Cannock Chase,,No,99126,78882500,1,No,,,UK054C1,No,Cannock Chase,,,,UK002L3,No,West Midlands urban area
UKG24,E07000193,East Staffordshire,,No,117552,389985300,1,No,,,UK043C1,No,East Staffordshire,,,,,,
UKG24,E07000194,Lichfield,,No,103507,331294400,2,No,,,,,,,,,UK002L3,No,West Midlands urban area
UKG24,E07000195,Newcastle-under-Lyme,,No,128963,210957300,1,No,,,UK565C1,No,Newcastle-under-Lyme,UK027K1,No,Stoke-on-Trent,UK027L1,No,Stoke-on-Trent
UKG24,E07000196,South Staffordshire,,No,111890,407322300,2,No,,,,,,,,,UK002L3,No,West Midlands urban area
UKG24,E07000197,Stafford,,No,134764,598172100,2,No,,,,,,,,,,,
UKG24,E07000198,Staffordshire Moorlands,,No,98496,575849800,2,No,,,,,,,,,UK027L1,No,Stoke-on-Trent
UKG24,E07000199,Tamworth,,No,76527,30850800,1,No,,,UK060C1,No,Tamworth,,,,UK002L3,No,West Midlands urban area
UKH14,E07000200,Babergh,,No,90794,612041200,3,No,,,,,,,,,UK569L2,No,Ipswich
UKH14,E07000201,Forest Heath,,No,65523,377710900,2,No,,,,,,,,,,,
UKH14,E07000202,Ipswich,,No,138480,40300200,1,No,,,UK569C1,No,Ipswich,,,,UK569L2,No,Ipswich
UKH14,E07000203,Mid Suffolk,,No,101543,871070700,3,No,,,,,,,,,,,
UKH14,E07000204,St Edmundsbury,,No,113725,656964900,2,No,,,,,,,,,,,
UKH14,E07000205,Suffolk Coastal,,No,129016,920700400,2,No,,,,,,,,,UK569L2,No,Ipswich
UKH14,E07000206,Waveney,,No,117897,374786400,1,No,,,UK038C1,No,Waveney,,,,,,
UKJ25,E07000207,Elmbridge,,No,136379,96334300,2,No,,,,,,,,,UK001L3,No,London
UKJ26,E07000208,Epsom and Ewell,,No,79451,34079400,2,No,,,,,,,,,UK001L3,No,London
UKJ25,E07000209,Guildford,,No,147777,270931100,1,No,,,UK033C1,No,Guildford,,,,UK033L1,No,Guildford
UKJ26,E07000210,Mole Valley,,No,87128,258321100,2,No,,,,,,,,,UK001L3,No,London
UKJ26,E07000211,Reigate and Banstead,,No,146383,129143900,2,No,,,,,,,,,UK001L3,No,London
UKJ25,E07000212,Runnymede,,No,86882,78040700,2,No,,,,,,,,,,,
UKJ25,E07000213,Spelthorne,,No,99120,51161400,2,No,,,,,,,,,UK001L3,No,London
UKJ25,E07000214,Surrey Heath,,No,88765,95092900,2,Yes,,,,,,UK580K1,No,Rushmoor,,,
UKJ26,E07000215,Tandridge,,No,87297,248194800,2,No,,,,,,,,,UK001L3,No,London
UKJ25,E07000216,Waverley,,No,125010,345170100,2,No,,,,,,,,,UK033L1,No,Guildford
UKJ25,E07000217,Woking,,No,101129,63603400,1,No,,,UK052C1,No,Woking,,,,UK001L3,No,London
UKG13,E07000218,North Warwickshire,,No,64069,284263500,2,No,,,,,,,,,UK002L3,No,West Midlands urban area
UKG13,E07000219,Nuneaton and Bedworth,,No,128659,78950400,1,No,,,UK035C1,No,Nuneaton and Bedworth,,,,UK025L3,No,Coventry
UKG13,E07000220,Rugby,,No,106350,353557300,1,No,,,UK581C1,No,Rugby,,,,UK025L3,No,Coventry
UKG13,E07000221,Stratford-on-Avon,,No,125202,977869400,3,No,,,,,,,,,,,
UKG13,E07000222,Warwick,,No,140282,282882100,1,No,,,UK564C1,No,Warwick,,,,UK025L3,No,Coventry
UKJ27,E07000223,Adur,,No,63721,43563800,2,Yes,,,,,,UK515K1,No,Brighton and Hove,UK515L1,No,Brighton and Hove
UKJ27,E07000224,Arun,,No,158657,224280700,2,No,,,,,,,,,,,
UKJ27,E07000225,Chichester,,No,120192,811873500,2,No,,,,,,,,,,,
UKJ28,E07000226,Crawley,,No,111664,44971100,1,No,,,UK576C1,No,Crawley,,,,,,
UKJ28,E07000227,Horsham,,No,140142,530962200,2,No,,,,,,,,,,,
UKJ28,E07000228,Mid Sussex,,No,148345,334029400,2,No,,,,,,,,,,,
UKJ27,E07000229,Worthing,,No,109632,33782600,1,No,,,UK045C1,No,Worthing,,,,,,
UKG12,E07000234,Bromsgrove,,No,97594,216968400,2,No,,,,,,,,,UK002L3,No,West Midlands urban area
UKG12,E07000235,Malvern Hills,,No,77165,577071000,2,No,,,,,,,,,UK024L1,No,Worcester
UKG12,E07000236,Redditch,,No,85204,54250900,1,No,,,UK059C1,No,Redditch,,,,,,
UKG12,E07000237,Worcester,,No,102314,33278200,1,No,,,UK024C1,No,Worcester,,,,UK024L1,No,Worcester
UKG12,E07000238,Wychavon,,No,125378,663541800,2,No,,,,,,,,,,,
UKG12,E07000239,Wyre Forest,,No,100715,195403800,2,No,,,,,,,,,,,
UKH23,E07000240,St Albans,,No,147095,161205900,1,No,,,UK563C1,No,St Albans,,,,UK001L3,No,London
UKH23,E07000241,Welwyn Hatfield,,No,122274,129536800,2,No,,,,,,,,,UK001L3,No,London
UKH23,E07000242,East Hertfordshire,,No,147080,475669600,2,No,,,,,,,,,UK001L3,No,London
UKH23,E07000243,Stevenage,,No,87739,25969100,1,No,,,UK021C1,No,Stevenage,,,,,,
UKD36,E08000001,Bolton,,No,284813,139792300,1,No,,,UK511C1,No,Bolton,UK008K1,No,Greater Manchester,UK008L3,No,Greater Manchester
UKD37,E08000002,Bury,,No,189628,99460100,1,No,,,UK534C1,No,Bury,UK008K1,No,Greater Manchester,UK008L3,No,Greater Manchester
UKD33,E08000003,Manchester,,No,545501,115648600,1,No,,,UK008C1,No,Manchester,UK008K1,No,Greater Manchester,UK008L3,No,Greater Manchester
UKD37,E08000004,Oldham,,No,233759,142345000,1,No,,,UK521C1,No,Oldham,UK008K1,No,Greater Manchester,UK008L3,No,Greater Manchester
UKD37,E08000005,Rochdale,,No,218459,158128300,1,No,,,UK526C1,No,Rochdale,UK008K1,No,Greater Manchester,UK008L3,No,Greater Manchester
UKD34,E08000006,Salford,,No,251332,97197400,1,No,,,UK522C1,No,Salford,UK008K1,No,Greater Manchester,UK008L3,No,Greater Manchester
UKD35,E08000007,Stockport,,No,291045,126040200,1,No,,,UK507C1,No,Stockport,UK008K1,No,Greater Manchester,UK008L3,No,Greater Manchester
UKD35,E08000008,Tameside,,No,224119,103154300,1,No,,,UK523C1,No,Tameside,UK008K1,No,Greater Manchester,UK008L3,No,Greater Manchester
UKD34,E08000009,Trafford,,No,235493,106044700,1,No,,,UK524C1,No,Trafford,UK008K1,No,Greater Manchester,UK008L3,No,Greater Manchester
UKD36,E08000010,Wigan,,No,324650,188171200,1,No,,,UK505C1,No,Wigan,UK008K1,No,Greater Manchester,UK008L3,No,Greater Manchester
UKD71,E08000011,Knowsley,,No,148560,86500200,2,Yes,,,,,,UK006K2,No,Liverpool,UK006L3,No,Liverpool
UKD72,E08000012,Liverpool,,No,491549,133534000,1,No,,,UK006C1,No,Liverpool,UK006K2,No,Liverpool,UK006L3,No,Liverpool
UKD71,E08000013,St. Helens,,No,179331,136358700,1,No,,,UK537C1,No,St. Helens,UK006K2,No,Liverpool,UK006L3,No,Liverpool
UKD73,E08000014,Sefton,,No,274589,204779600,1,No,,,UK508C1,No,Sefton,UK006K2,No,Liverpool,UK006L3,No,Liverpool
UKD74,E08000015,Wirral,,No,322796,256399100,1,No,,,UK030C1,No,Wirral,UK006K2,No,Liverpool,UK006L3,No,Liverpool
UKE31,E08000016,Barnsley,,No,243341,329077700,1,No,,,UK519C1,No,Barnsley,,,,UK010L3,No,Sheffield
UKE31,E08000017,Doncaster,,No,308940,568551000,1,No,,,UK506C1,No,Doncaster,,,,,,
UKE31,E08000018,Rotherham,,No,263375,286534300,1,No,,,UK514C1,No,Rotherham,,,,UK010L3,No,Sheffield
UKE32,E08000019,Sheffield,,No,577789,367930200,1,No,,,UK010C1,No,Sheffield,,,,UK010L3,No,Sheffield
UKC22,E08000021,Newcastle upon Tyne,,No,295842,115117800,1,No,,,UK013C1,No,Newcastle upon Tyne,UK013K1,No,Tyneside conurbation,UK013L2,No,Tyneside conurbation
UKC22,E08000022,North Tyneside,,No,204473,84819300,1,No,,,UK529C1,No,North Tyneside,UK013K1,No,Tyneside conurbation,UK013L2,No,Tyneside conurbation
UKC22,E08000023,South Tyneside,,No,149555,67108500,1,No,,,UK547C1,No,South Tyneside,UK013K1,No,Tyneside conurbation,UK013L2,No,Tyneside conurbation
UKC23,E08000024,Sunderland,,No,277249,139630200,1,No,,,UK510C1,No,Sunderland,,,,,,
UKG31,E08000025,Birmingham,,No,1137123,267791300,1,No,,,UK002C1,No,Birmingham,UK002K1,No,West Midlands urban area,UK002L3,No,West Midlands urban area
UKG33,E08000026,Coventry,,No,360149,98639000,1,No,,,UK025C1,No,Coventry,,,,UK025L3,No,Coventry
UKG36,E08000027,Dudley,,No,319419,97958400,1,No,,,UK504C1,No,Dudley,UK002K1,No,West Midlands urban area,UK002L3,No,West Midlands urban area
