NUTS 3 CODE,LAU CODE,LAU NAME NATIONAL,LAU NAME LATIN,CHANGE (Y/N),POPULATION,TOTAL AREA (m2),DEGURBA,DEG change compared to last year,COASTAL AREA (yes/no),COAST change compared to last year,CITY_ID,CITY_ID change compared to last year,CITY_NAME,GREATER_CITY_ID,GREATER_CITY_ID change compared to last year,GREATER_CITY_NAME,FUA_ID,FUA_ID change compared to last year,FUA_NAME
UKN07,N09000002,"Armagh City, Banbridge and Craigavon",,Yes,211898,1437432200,2,Yes,,,,,,,,,,,
UKN06,N09000003,Belfast,,Yes,340220,137751600,1,No,,,UK012C2,Yes,Belfast,UK012K1,No,Greater Belfast,UK012L2,No,Belfast Urban Area
UKN0C,N09000004,Causeway Coast and Glens,,Yes,143920,1986058500,3,No,,,,,,,,,,,
UKN0A,N09000005,Derry City and Strabane,,Yes,150497,1251561700,1,No,,,UK586C1,Yes,Derry & Strabane Local Government District,,,,,,
UKN0G,N09000006,Fermanagh and Omagh,,Yes,116289,3012884500,3,No,,,,,,,,,,,
UKN0E,N09000007,Lisburn and Castlereagh,,Yes,142640,510566900,2,Yes,,,,,,UK012K1,No,Greater Belfast,UK012L2,No,Belfast Urban Area
UKN0F,N09000008,Mid and East Antrim,,Yes,138152,1061633100,2,No,,,,,,,,,,,
UKN0B,N09000009,Mid Ulster,,Yes,146427,1957795200,3,Yes,,,,,,,,,,,
UKN08,N09000010,"Newry, Mourne and Down",,Yes,178996,1682760000,3,No,,,,,,,,,,,
UKN09,N09000011,Ards and North Down,,Yes,160098,566614500,2,No,,,,,,,,,UK012L2,No,Belfast Urban Area
UKM71,S30000001,Angus,,No,116280,2204238300,2,No,,,,,,,,,UK550L1,No,Dundee
UKM71,S30000002,Dundee City,,No,148710,62222900,1,No,,,UK550C1,No,Dundee City,,,,UK550L1,No,Dundee
UKM72,S30000003,Clackmannanshire,,No,51450,163921200,2,No,,,,,,,,,,,
UKM72,S30000004,Fife,,No,371410,1373921100,2,No,,,,,,,,,,,
UKM73,S30000005,East Lothian,,No,104840,700937700,2,No,,,,,,,,,UK007L1,No,Edinburgh
UKM73,S30000006,Midlothian,,No,90090,355275200,2,No,,,,,,,,,UK007L1,No,Edinburgh
UKM91,S30000007,Scottish Borders,,No,115020,4742657000,3,No,,,,,,,,,,,
UKM75,S30000008,City of Edinburgh,,Yes,513210,273044300,1,No,,,UK007C1,No,City of Edinburgh,,,,UK007L1,No,Edinburgh
UKM76,S30000009,Falkirk,,No,160130,314931400,1,No,,,UK551C1,No,Falkirk,,,,,,
UKM77,S30000010,Perth and Kinross,,Yes,151100,5418909100,2,No,,,,,,,,,,,
UKM77,S30000011,Stirling,,No,94000,2254811700,2,No,,,,,,,,,,,
UKM78,S30000012,West Lothian,,No,181310,431585000,2,No,,,,,,,,,UK007L1,No,Edinburgh
UKM81,S30000013,Helensburgh and Lomond,,Yes,26164,394055000,2,No,,,,,,,,,,,
UKM81,S30000014,West Dunbartonshire,,No,89610,182777900,2,No,,,,,,,,,UK004L1,No,Glasgow
UKM81,S30000015,East Dunbartonshire,,No,108130,174611400,2,Yes,,,,,,UK004K1,No,Greater Glasgow,UK004L1,No,Glasgow
